"artists","Count"
"Taylor Swift",17649
"Billie Eilish",13729
"KAROL G",10863
"Sabrina Carpenter",10640
"Tate McRae",9423
"Benson Boone",9146
"Feid",8910
"Ariana Grande",8658
"Bad Bunny",7305
"Teddy Swims",7062
"Myke Towers",6970
"Jimin",6649
"Artemas",6331
"FloyyMenor, Cris Mj",6193
"Dua Lipa",6126
"V",6052
"Xavi",5906
"The Weeknd, JENNIE, Lily-Rose Depp",5327
"Doja Cat",5276
"KAROL G, Peso Pluma",5119
"SZA",5117
"cassö, RAYE, D-Block Europe",5085
"Hozier",5075
"Bad Bunny, Feid",5068
"Jung Kook, Latto",4892
"Plan B",4815
"Djo",4768
"Kenya Grace",4767
"Feid, ATL Jacob",4727
"Kendrick Lamar",4401
"Manuel Turizo",4303
"Jung Kook",4297
"Maluma, Carin Leon",4199
"Feid, Young Miko",4187
"Mitski",4151
"Quevedo",4070
"Tommy Richman",3949
"iñigo quintero",3865
"Jack Harlow",3841
"Hafdís Huld",3815
"NewJeans",3736
"Shubh",3399
"Travis Scott, Playboi Carti",3348
"Noah Kahan",3328
"Carin Leon",3282
"Tyla",3271
"Lim Young Woong",3261
"Eminem",3100
"Lord Huron",2992
"David Kushner",2984
"Arctic Monkeys",2957
"Calle 24, Chino Pacas, Fuerza Regida",2902
"Olivia Rodrigo",2871
"Grupo Frontera, Bad Bunny",2844
"LE SSERAFIM",2813
"Mark Ambor",2793
"Natasha Bedingfield",2785
"The Weeknd, Playboi Carti, Madonna",2693
"Taylor Swift, Post Malone",2585
"Zach Bryan",2559
"21 Savage",2541
"Beyoncé",2540
"Mrs. GREEN APPLE",2519
"Grupo Frontera, Grupo Firme",2517
"Chappell Roan",2515
"Dasha",2485
"Jung Kook, Jack Harlow",2453
"BENNETT",2451
"Shaboozey",2411
"Tom Odell",2388
"Ofenbach, Norma Jean Martine",2372
"Cris Mj",2346
"Rvssian, Rauw Alejandro, Ayra Starr",2295
"CYRIL",2267
"Fuerza Regida",2221
"Bizarrap, Milo j",2217
"Myles Smith",2189
"Bakr",2185
"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",2184
"Jaxomy, Agatino Romero, Raffaella Carrà",2174
"Coldplay",2161
"Rauw Alejandro",2139
"Zach Bryan, Kacey Musgraves",2065
"Morgan Wallen",2053
"Taiu, Milo j",2022
"aespa",2015
"Azahriah",2002
"Ozuna, Feid",1967
"Darell",1959
"Future, Metro Boomin, Kendrick Lamar",1957
"Miley Cyrus",1950
"Vance Joy",1938
"Michael Bublé",1935
"Central Cee, Lil Baby",1913
"David Guetta, OneRepublic",1890
"Keung To",1837
"Young Miko, Feid",1822
"Mariah Carey",1814
"Myke Towers, Bad Bunny",1807
"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",1788
"Fuerza Regida, Marshmello",1762
"The Neighbourhood",1747
"J Balvin, Bad Bunny",1734
"Wham!",1729
"Sia",1692
"陳卓賢 Ian",1681
"Grupo Frontera, Carin Leon",1676
"Michael Marcagi",1675
"Peso Pluma, Anitta",1650
"Mora, Feid",1644
"Gunna",1632
"ILLIT",1616
"Rich Amiri",1614
"Harry Styles",1607
"Drake, Yeat",1603
"MC 張天賦",1602
"Post Malone, Morgan Wallen",1579
"Bad Bunny, Young Miko",1550
"Disturbed, CYRIL",1515
"Kygo, Ava Max",1507
"Aventura",1498
"Peso Pluma, Gabito Ballesteros, Junior H",1496
"Azahriah, DESH",1489
"iZaak, Jhayco, Anuel AA",1483
"ElGrandeToto",1470
"Bizarrap, Young Miko",1467
"Milo j",1463
"Big One, FMK, Ke Personajes",1457
"Anson Lo 盧瀚霆",1442
"¥$, Kanye West, Ty Dolla $ign",1422
"Trueno",1421
"Yng Lvcas, Peso Pluma",1391
"YG Marley",1379
"Mesita, Nicki Nicole, Tiago PZK, Emilia",1378
"Kanye West, Ty Dolla $ign",1376
"Viktor Sheen",1375
"David Guetta, Bebe Rexha",1361
"Future, Metro Boomin, Travis Scott, Playboi Carti",1361
"BABYMONSTER",1358
"Sophie Ellis-Bextor",1358
"Jessica Shy",1357
"Don Omar",1350
"The Weeknd, Daft Punk",1350
"Adam Port, Stryv, Keinemusik, Orso, Malachiii",1348
"Travis Scott",1336
"Bad Bunny, Chencho Corleone",1330
"BLOK3",1301
"Justin Bieber",1300
"YOASOBI",1275
"Grupo Frontera, Ke Personajes",1253
"Tiago PZK, Ke Personajes",1245
"Osher Cohen",1232
"Brenda Lee",1226
"Jere Klein, Gittobeatz",1225
"Tego Calderón",1220
"Junior H",1212
"Richy Mitch & The Coal Miners",1211
"Asake",1209
"Dei V, Bryant Myers",1195
"Julión Álvarez y su Norteño Banda",1185
"Joost",1173
"Essam Sasa",1169
"Omer Adam",1158
"LISA",1149
"Semicenk",1143
"Tamer Ashour",1129
"Bobby Helms",1125
"Dave, Central Cee",1123
"Emilia",1093
"Dean Martin",1089
"Sevdaliza, Pabllo Vittar, Yseult",1085
"ששון איפרם שאולוב",1084
"YOVNGCHIMI, Dei V",1083
"Jhayco",1078
"Werenoi",1067
"Drake, Sexyy Red, SZA",1063
"Slow J",1058
"back number",1052
"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",1046
"Hev Abi",1042
"Rauw Alejandro, Chencho Corleone",1037
"KAROL G, Shakira",1032
"(G)I-DLE",1009
"Medi",1009
"Luck Ra, BM",1008
"Кишлак",991
"Luke Combs",990
"Calin",989
"Pashanim",979
"Eden Hason",976
"Calin, Viktor Sheen",964
"LA NUEVA ESCUELA",956
"KUUMAA",954
"Andy Williams",945
"Tony Dize, Plan B",937
"Jungeli, Imen Es, Alonzo, Abou Debeing, Lossa",923
"KRBK",917
"Maria Becerra",912
"Soolking, Gazo",900
"Arcángel, Grupo Frontera",897
"Peso Pluma, Grupo Frontera",897
"Sevdaliza, Villano Antillano, Tokischa",895
"Bad Gyal, Tokischa, Young Miko",890
"Camilo, Carin Leon",890
"Young Jonn",889
"Wren Evans, itsnk",887
"Klavdia Petrivna",886
"Cigarettes After Sex",884
"Iuly Neamtu, Manele Mentolate",878
"BINI",876
"Bolaget",871
"Luck Ra, La K'onga, Ke Personajes",867
"Oscar Ortiz, Edgardo Nuñez",859
"Flo Milli",853
"nublu",850
"Blessd, Ovy On The Drums",844
"Separ, Peter Pann",841
"IVE",836
"Luck Ra, KHEA",827
"Feid, Yandel",823
"Anuv Jain",817
"Kelly Clarkson",816
"Los Ángeles Azules, Maria Becerra",816
