"energy","valence","Count"
0.733,0.844,7572
0.471,0.219,7493
0.604,0.242,6696
0.702,0.564,6078
0.499,0.669,5910
0.946,0.747,5466
0.76,0.69,5408
0.738,0.484,5119
0.717,0.422,5092
0.778,0.345,5068
0.62,0.934,4828
0.454,0.912,4768
0.523,0.416,4767
0.86,0.446,4727
0.831,0.872,4324
0.507,0.438,4307
0.679,0.85,4303
0.762,0.843,4199
0.308,0.121,4151
0.725,0.795,3977
0.421,0.524,3865
0.558,0.606,3841
0.556,0.726,3769
0.712,0.264,3635
0.472,0.214,3522
0.573,0.563,3479
0.738,0.267,3392
0.665,0.659,3391
0.737,0.607,3374
0.882,0.201,3348
0.819,0.697,3150
0.733,0.362,3140
0.789,0.866,3133
0.722,0.519,3106
0.607,0.363,3035
0.809,0.816,3005
0.586,0.579,2949
0.944,0.937,2902
0.43,0.324,2857
0.72,0.542,2844
0.8,0.629,2785
0.56,0.541,2738
0.668,0.64,2694
0.4,0.945,2682
0.417,0.479,2643
0.696,0.545,2605
0.621,0.13,2597
0.641,0.202,2567
0.834,0.746,2517
0.811,0.311,2454
0.824,0.888,2453
0.824,0.371,2451
0.757,0.279,2372
0.672,0.739,2358
0.74,0.246,2332
0.488,0.817,2310
0.709,0.648,2294
0.518,0.37,2267
0.697,0.919,2248
0.783,0.514,2218
0.601,0.332,2184
0.936,0.844,2174
0.453,0.155,2065
0.386,0.281,2033
0.663,0.287,2028
0.708,0.96,2022
0.532,0.35,1996
0.676,0.312,1994
0.835,0.666,1983
0.589,0.399,1967
0.711,0.934,1959
0.395,0.488,1956
0.731,0.51,1929
0.425,0.521,1925
0.764,0.886,1913
0.366,0.1,1892
0.714,0.554,1890
0.678,0.852,1860
0.729,0.54,1822
0.854,0.522,1807
0.537,0.131,1794
0.95,0.563,1788
0.646,0.295,1779
0.774,0.494,1768
0.551,0.392,1766
0.646,0.429,1734
0.598,0.935,1729
0.627,0.35,1703
0.0911,0.142,1699
0.741,0.591,1698
0.582,0.785,1678
0.644,0.779,1676
0.551,0.443,1675
0.807,0.398,1660
0.88,0.463,1650
0.789,0.464,1644
0.583,0.544,1622
0.539,0.253,1614
0.691,0.632,1614
0.619,0.337,1611
0.617,0.486,1609
0.706,0.599,1607
0.731,0.662,1607
0.67,0.138,1603
0.795,0.681,1590
0.758,0.823,1587
0.855,0.731,1563
0.7,0.535,1551
0.724,0.396,1550
0.668,0.69,1527
0.721,0.244,1515
0.687,0.381,1507
0.622,0.22,1502
0.736,0.873,1496
0.652,0.179,1483
0.571,0.443,1466
0.192,0.148,1461
0.601,0.627,1445
0.643,0.57,1394
0.552,0.112,1393
0.479,0.559,1391
0.64,0.19,1389
0.727,0.418,1379
0.703,0.739,1378
0.965,0.304,1361
0.887,0.889,1359
0.849,0.887,1358
0.587,0.486,1350
0.782,0.655,1348
0.735,0.418,1344
0.845,0.775,1334
0.712,0.425,1330
0.699,0.927,1315
0.572,0.514,1308
0.668,0.787,1288
0.82,0.502,1256
0.782,0.77,1253
0.907,0.816,1245
0.472,0.898,1223
0.856,0.872,1220
0.216,0.504,1211
0.396,0.491,1202
0.711,0.375,1189
0.512,0.326,1135
0.63,0.552,1129
0.756,0.838,1128
0.424,0.806,1125
0.583,0.661,1123
0.519,0.848,1115
0.658,0.176,1114
0.517,0.923,1113
0.754,0.717,1088
0.223,0.355,1084
0.603,0.428,1083
0.621,0.591,1081
0.759,0.244,1077
0.729,0.142,1063
0.776,0.596,1059
0.718,0.689,1057
0.582,0.671,1055
0.675,0.602,1053
0.678,0.346,1046
0.709,0.353,1045
0.568,0.35,1039
0.694,0.511,1037
0.817,0.515,1019
0.24,0.701,1001
0.864,0.961,988
0.63,0.607,985
0.617,0.417,974
0.369,0.0998,958
0.815,0.334,958
0.526,0.649,942
0.878,0.902,923
0.247,0.126,909
0.872,0.378,906
0.31,0.71,903
0.513,0.502,901
0.866,0.631,897
0.679,0.948,890
0.881,0.556,886
0.626,0.78,882
0.589,0.894,880
0.588,0.794,859
0.751,0.22,859
0.686,0.836,856
0.656,0.695,844
0.729,0.816,841
0.567,0.0743,832
0.465,0.699,824
0.698,0.757,822
0.5,0.801,820
0.812,0.689,816
0.728,0.461,814
0.927,0.88,806
0.678,0.788,805
0.622,0.457,804
0.714,0.714,797
0.658,0.672,796
0.89,0.489,788
0.668,0.833,787
0.527,0.371,785
0.832,0.758,777
0.5,0.0905,768
0.675,0.594,767
0.681,0.434,764
0.94,0.479,764
0.56,0.471,761
0.72,0.552,757
0.809,0.905,755
0.65,0.401,752
0.873,0.662,751
0.675,0.478,746
0.56,0.854,745
0.677,0.599,745
0.631,0.889,739
0.452,0.734,736
0.553,0.739,732
0.845,0.439,732
0.677,0.68,725
0.831,0.609,722
0.619,0.817,720
0.831,0.963,714
0.545,0.268,712
0.61,0.464,712
0.575,0.611,711
0.589,0.767,710
0.52,0.37,701
0.676,0.134,701
0.566,0.23,696
0.842,0.417,696
0.911,0.236,696
0.7,0.602,695
0.697,0.732,693
0.519,0.779,690
0.88,0.732,688
0.643,0.142,682
0.516,0.916,681
0.545,0.549,679
0.544,0.411,677
0.741,0.614,677
0.487,0.193,671
0.831,0.489,671
0.758,0.834,669
0.729,0.58,665
0.701,0.785,662
0.709,0.604,650
0.337,0.0365,648
0.793,0.688,646
0.643,0.533,645
0.705,0.874,640
0.763,0.633,640
0.726,0.393,635
0.799,0.223,634
0.564,0.744,632
0.772,0.853,631
0.915,0.726,620
0.406,0.281,619
0.405,0.534,617
0.747,0.368,609
0.634,0.352,607
0.359,0.329,606
0.438,0.178,604
0.652,0.104,602
0.356,0.569,601
0.512,0.881,601
0.564,0.902,601
0.581,0.658,601
0.627,0.356,601
0.645,0.528,601
0.573,0.575,599
0.5,0.351,598
0.158,0.46,597
0.926,0.861,596
0.521,0.494,593
0.64,0.222,591
0.376,0.24,589
0.647,0.654,588
0.786,0.611,587
0.805,0.271,586
0.621,0.28,583
0.941,0.876,583
0.881,0.105,582
0.603,0.67,578
0.747,0.884,576
0.578,0.448,574
0.578,0.967,573
0.771,0.739,570
0.876,0.964,569
0.538,0.139,568
0.832,0.89,568
0.737,0.547,562
0.788,0.839,562
0.416,0.128,559
0.494,0.558,559
0.782,0.906,559
0.757,0.12,554
0.397,0.319,552
0.649,0.756,550
0.671,0.778,547
0.455,0.352,544
0.728,0.581,543
0.601,0.853,541
0.64,0.414,541
0.671,0.353,534
0.625,0.262,530
0.705,0.89,529
0.405,0.446,528
0.452,0.368,528
0.771,0.661,528
0.769,0.509,527
0.892,0.916,523
0.587,0.794,520
0.904,0.96,518
0.774,0.661,516
0.804,0.426,515
0.492,0.789,514
0.646,0.576,514
0.77,0.489,509
0.54,0.373,507
0.799,0.761,507
0.523,0.363,498
0.496,0.476,495
0.667,0.618,495
0.741,0.441,490
0.706,0.935,489
0.779,0.303,486
0.628,0.568,485
0.822,0.746,485
0.792,0.4,482
0.652,0.625,481
0.392,0.313,479
0.702,0.615,479
0.797,0.825,476
0.661,0.285,475
0.488,0.253,473
0.669,0.475,472
0.713,0.714,472
0.573,0.417,471
0.641,0.183,471
0.691,0.707,470
0.745,0.262,468
0.543,0.453,465
0.677,0.584,465
0.583,0.903,464
0.658,0.895,462
0.63,0.702,457
0.759,0.745,456
0.905,0.563,455
0.957,0.431,452
0.714,0.951,451
0.642,0.169,450
0.895,0.757,446
0.789,0.469,445
0.885,0.736,443
0.65,0.749,442
0.914,0.502,442
0.836,0.63,441
0.627,0.909,440
0.64,0.248,440
0.766,0.804,440
0.619,0.393,439
0.651,0.251,439
0.525,0.608,435
0.555,0.774,434
0.581,0.107,434
0.644,0.354,434
0.9,0.562,432
0.637,0.0509,427
0.744,0.7,425
0.391,0.451,424
0.476,0.578,424
0.618,0.217,423
0.84,0.639,422
0.368,0.234,421
0.804,0.644,421
